Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
Acure  50ml FaceWash,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
COSOME LOZENGES HONEY AND LEMON,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Zeptide (7.5mg) Pre Filled Syringe,Medicine,,,Qty,,FEROZSONS LABORATORIES,,,0,NaN,0,Inclusive,1,0,,,
Zeptide (5mg) Pre Filled Syringe,Medicine,,,Qty,,FEROZSONS LABORATORIES,,,0,NaN,0,Exclusive,1,0,,,
OBS Fosfo Sachet,Medicine,,,Qty,,Muller & philips,,,0,NaN,0,Exclusive,1,0,,,
Zeptide (2.5mg) Pre-Filled Syringe,Medicine,,,Qty,,FEROZSONS LABORATORIES,,,0,NaN,0,Exclusive,1,0,,,
MOOV CREAM 25GM,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
SUDO CREAM  (60ML),Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
JOHNSONS BABY OIL (125ML),Medicine,,,Qty,,JOHNSAN & JOHNSAN,,,0,NaN,0,Exclusive,1,0,,,
Johnsons Jelly 100ML,Medicine,,,Qty,,JOHNSON,,,0,NaN,0,Exclusive,1,0,,,
NESTLE NIDO SCHOOL AGE 900G,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Combi No H Junior Drops,Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Xynosine-N Spray 1s,Medicine,,,Qty,,A- Schazoo Pharma,,,0,NaN,0,Exclusive,1,0,,,
Molfix 2 (Mini) 35 Baby Diapers,Medicine,,,Qty,,MOLFIX PAMPER,,,0,NaN,0,Exclusive,1,0,,,
DUREX PK.THIN FEEL 3s,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Dictrin (5mg) 10s tab,Medicine,,,Qty,,Barret Hodgson Pakistan,,,0,NaN,0,Exclusive,1,0,,,
NEW Photonic SHAMPOO,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Azitma Tablet (500mg) 6 Tablets,Medicine,,,Qty,,sami pharaceuticals,,,0,NaN,0,Exclusive,1,0,,,
artem plus dry suspension 60ml,Medicine,,,Qty,,HILTON PHARMACEUTICALS (PVT.) LTD.,,,0,NaN,0,Exclusive,1,0,,,
